video_url,author,comment,likes,time,clean_comment,sentiment
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@carlosr1176,Reminds me of prices from long ago. But I could afford to eat out almost every day back then and travel and pay a mortgage and car payment. Make several times more now and can’t afford any of that forget this garbage the economy is going down till 2030.,0,15 menit yang lalu,reminds prices long ago afford eat day travel pay mortgage car payment make times t afford forget garbage economy going till,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@UmeshSharma-y8k,Support ki jagah chhote youtuber,0,59 menit yang lalu,support ki jagah chhote youtuber,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Flash-p9t,You think they’ll go back down when memory prices drop? Doubtful.,0,4 jam yang lalu,think ll memory prices drop doubtful,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@dj46104,Might as well buy a previous gen Air then.,0,10 jam yang lalu,buy previous gen air,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@siddharthsagar2322,The biggest blow is Apple TV 🥲,0,16 jam yang lalu,biggest blow apple tv,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@jrios662,Oh screw apple....,0,19 jam yang lalu,oh screw apple,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@DayyyForIt,Seems like a dodgy make in America thing!,0,23 jam yang lalu,like dodgy make america thing,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@josejohn2243,Got my mba 15 three months ago. I'm so glad,0,23 jam yang lalu,got mba months ago m glad,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Pumfee,It doesn’t even really make sense. Tariffs and AI are screwing us. These are APUS with integrated memory not even normal ram but the same manufacturers help make it so that’s the problem. The only solution to this problem of modern America is hoping maybe using intels new chip making facilities will make it a bit cheaper.,0,1 hari yang lalu,doesn t really make sense tariffs ai screwing apus integrated memory normal ram manufacturers help make s problem solution problem modern america hoping maybe using intels new chip making facilities make bit cheaper,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@alfonsopayan09,"Bro with more money and more time both spent in the tech industry than most of us 
Thinking price hike are temporary 
lol this guy",0,1 hari yang lalu,bro money time spent tech industry thinking price hike temporary lol guy,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@AhmedKhaldi-n1m,Yo Mk  I am not really asking for much I am asking for a Samsung a57 maxed out bro pls my a15 128gb its time is near 🙏 I need a new phone I am asking for a mid range pls,0,2 hari yang lalu (diedit),yo mk really asking asking samsung maxed bro pls gb time near need new phone asking mid range pls,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@marios739,and suddenly the neo isnt interesting anymore for students.,0,2 hari yang lalu,suddenly neo isnt interesting anymore students,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Not-Anonymous-187,"Apple is pricing themselves out of the market for many. It gets to the point where a phone is just a phone and a laptop is just a laptop. And no, the price increases are never temporary. We learned this from Covid so no sugar coating that.",0,2 hari yang lalu (diedit),apple pricing market gets point phone just phone laptop just laptop price increases temporary learned covid sugar coating,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Genmaicha22,"""tEmpOraRy"". I remember people said the same thing about uber during Covid. They never went down.",0,2 hari yang lalu,temporary remember people said thing uber covid went,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@mungstk,Those prices are never coming down. Even if RAM becomes free. 😂,0,2 hari yang lalu,prices coming ram free,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@HuyNguyen-nc1tw,I highly doubt this is a temp. price increase.,0,2 hari yang lalu,highly doubt temp price increase,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@dodoontherocks,😂😂😂😂😂😂  how naïve do you have to be to think that this is temporary?,0,2 hari yang lalu,na ve think temporary,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@stylehabits,😂😂😂 they can keep their stock then - good luck,0,3 hari yang lalu,stock good luck,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Iwillbenamedsame,GO BALD YOU PROMIS,0,3 hari yang lalu,bald promis,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Iwillbenamedsame,ALRIGHT TIME TO GO BALD I AINT FORGET,0,3 hari yang lalu,alright time bald aint forget,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@altsenmm7857,memory shortage or not price increases are usually not temporary,1,3 hari yang lalu,memory shortage price increases usually temporary,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Vikmitta,Temporary come on be realistic,0,3 hari yang lalu,temporary come realistic,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@AMKOriginal,Apple won't lower prices even after memory shortage crisis.,0,3 hari yang lalu,apple won t lower prices memory shortage crisis,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@MUD1A-9,What skin products do you use,0,3 hari yang lalu,skin products use,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Chillcat79,Bro you have to shave ur head,0,3 hari yang lalu,bro shave ur head,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@random-accessmemory9201,I'm glad I bought the iPad Air M4 before the price increase even though I don't even know where I'm gonna use it for 😭😂,0,3 hari yang lalu,m glad bought ipad air m price increase don t know m gonna use,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Oneandoneeee,I’m never buying anything new anymore this prices are ridiculous,0,3 hari yang lalu,m buying new anymore prices ridiculous,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@doggomaru,I NEED THE AI BUBBLE TO POP ALREADY. FUCK.,0,3 hari yang lalu,need ai bubble pop fuck,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Orguybl,Decide with your wallet guys. Are we going to keep letting these corporations drain our bank accounts or are we going to do something about it!,0,3 hari yang lalu,decide wallet guys going letting corporations drain bank accounts going,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@BabyJokerGaming,the iphones are safe for now because they have strong competition that are actually better 😂,0,3 hari yang lalu,iphones safe strong competition actually better,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@jimmoores7883,There is no war in hell they ever reduce the prices again.,0,3 hari yang lalu,war hell reduce prices,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@joshnizzle,There is no memory shortage. The big 3 companies are just using that as an excuse,0,3 hari yang lalu,memory shortage big companies just using excuse,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Dailydosefclips,And I just wanted to buy one,0,3 hari yang lalu,just wanted buy,Positive
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@hackmanrocks,So disappointed to this price hike 😢,0,3 hari yang lalu,disappointed price hike,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@rangarajan3774,The people who buy apple products got really hit. Not the company. They will never reduce theirprofit margin to save their customer's hard earned money.,0,3 hari yang lalu,people buy apple products got really hit company reduce theirprofit margin save customer s hard earned money,Negative
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@rishabhbhadana3636,Price hikes are never temporary,0,3 hari yang lalu,price hikes temporary,Negative
